Question,Answer1,Answer2,Answer3,CorrectAnswer
"According to an infamous ’80s hoax, April Fools’ Day was created by a Roman court jester named what?","1) Kugel ",2) Constantine,3) Boskin,1
The capital city of which country sits at the southernmost latitude?,"1) Uruguay ",2) Madagascar,3) Indonesia,1
Who owns the NFL record for consecutive playoff games with at least two touchdown passes?,"1) Joe Flacco ",2) Joe Montana,3) Tom Brady,1
The music of Rick Astley played a direct role in bringing down the leader of what country?,1) Libya,2) Venezuela,"3) Panama ",3
Which of these countries celebrates Easter with both an Easter Bunny and an Easter Bilby?,1) Sweden,2) Canada,"3) Australia ",3
Which of these punctuation marks can be found in an interrobang?,1) Ampersand,2) Pound sign,"3) Question mark ",3
Which of these figures is known for wearing a mackintosh?,1) Steve Jobs,"2) Inspector Gadget ",3) Johnny Appleseed,2
The holiday of Passover commemorates events that took place in what ancient civilization?,"1) Egypt ",2) Babylonia,3) Macedonia,1
What basketball term derives from a French phrase that circus acrobats used to shout?,"1) Alley-oop ",2) Slam dunk,3) Airball,1
The notion that “Anything that can go wrong will go wrong” is popularly known as what?,1) Peter Principle,"2) Murphy's Law ",3) Cider House Rule,2
A classic Shakespeare play details the doomed love between Romeo and who?,"1) Juliet ",2) Jessica Simpson,3) Ms. Jackson,1
Snorkelers in the water are most likely to wear what on their feet?,1) Clown shoes,2) Stiletto heels,"3) Swim fins ",3
Who was the last elected U.S. president to NOT hold office as either a Democrat or Republican?,"1) Millard Fillmore ",2) Chester A. Arthur,3) Ulysses S. Grant,1
Mozart’s “The Marriage of Figaro” continues the story of what other opera?,"1) The Barber of Seville ",2) Rigoletto,3) La Traviata,1
Which U.S. state's capital city is home to an NHL team?,"1) Ohio ",2) Florida,3) Pennsylvania,1
Birders use what four-letter word to refer to hard-to-classify birds?,1) Anon,"2) Spuh ",3) Drib,2
What kind of number is the decimal expansion of 1/7?,"1) Endless but repeating ",2) Irrational,3) Ending,1
The song used in the viral Mannequin Challenge meme features a solo by what rapper?,1) Jay-Z,"2) Gucci Mane ",3) 2 Chainz,2
What is the correct spelling of the bear family that has starred in hundreds of popular kids’ books?,1) Berensteen Bears,2) Berenstein Bears,"3) Berenstain Bears ",3
Which of these jobs requires a training and testing period that takes about 34 months?,1) IKEA store manager,2) Louvre tour guide,"3) London cab driver ",3
Which of these foods is NOT a type of onion?,1) Scallion,2) Shallot,"3) Scallop ",3
Abraham Lincoln is known for wearing what kind of headgear?,1) Propeller cap,"2) Stovepipe hat ",3) Supreme beanie,2
"On Broadway, a “triple threat” is a person who sings, dances and what?","1) Acts ",2) Bakes cakes,3) Trains dogs,1
Painter Margaret Keane’s work directly inspired which cartoon series?,1) Jem and the Holograms,"2) The Powerpuff Girls ",3) My Little Pony,2
The co-creator of the first baby monitor was recruited after his design of what?,1) Portable radio,2) Crib,"3) Coffee table ",3
"In 18th-century London, people mocked the first public user of which of these accessories?",1) Sunglasses,"2) Umbrella ",3) Purse,2
"In the U.S., which of these job uniforms is illegal to wear if you do not have that job?",1) Surgeon,"2) Postal worker ",3) Airline pilot,2
The guitarist in the E Street Band starred in which television show?,"1) The Sopranos ",2) The Practice,3) Rescue Me,1
Which of these is both a city in Morocco AND a common style of hat?,1) Kangol,"2) Fez ",3) Tangier,2
What is the name of the scientific process that turns sugars into alcohol?,"1) Fermentation ",2) Photosynthesis,3) Mutation,1
Which of these U.S. states is known for its panhandle?,"1) Florida ",2) Iowa,3) Montana,1
In which of these sports can a player NOT get a strike?,1) Bowling,2) Baseball,"3) Basketball ",3
"In astronomical terms, what is the opposite of a full moon?",1) Fresh moon,"2) New moon ",3) Hungry moon,2
In which of these places were rulers known as pharaohs?,"1) Ancient Egypt ",2) Medieval Japan,3) Studio54,1
TGIF most commonly stands for “Thank God It’s” what?,"1) Friday ",2) Frankenstein,3) Flavortown,1
Adam Sandler did NOT receive a Kids Choice Award for his work in which movie?,1) Mr. Deeds,2) Grown Ups 2,"3) Happy Gilmore ",3
What dog breed was named for a region in Germany and Poland?,"1) Pomeranian ",2) Doberman Pinscher,3) Poodle,1
Which of these states borders the Hawkeye State?,1) The Volunteer State,2) The Peace Garden State,"3) The Show Me State ",3
"Sleeping through winter is hibernation, but sleeping through summer is called what?",1) Transolation,"2) Estivation ",3) Decarburization,2
Which U.S. president’s middle name is Gamaliel?,"1) Warren Harding ",2) James Polk,3) Rutherford Hayes,1
The Latin phrase “tempus fugit” literally translates to what?,1) Buyer beware,2) Come together,"3) Time flies ",3
"Thanks to the time it took to make, what movie was almost called “12 Years”?","1) Boyhood ",2) The LEGO Movie,3) Castaway,1
Which of these phrases is slang for a bad thing?,"1) Dog’s breakfast ",2) Bee's knees,3) Cat's pajamas,1
"When it comes to mail, what does the Z in “ZIP Code” stand for?",1) Zoom,2) Zero,"3) Zone ",3
The Cy Young Award is given each year to Major League Baseball's best what?,1) Mascots,2) Fans,"3) Pitchers ",3
The Smart Car started as a collaboration between a car company and what?,"1) Watchmaker ",2) Website,3) Travel guide,1
"According to Guinness World Records, the hit single containing the most words was recorded by what artist?","1) Eminem ",2) Krayzie Bone,3) Busta Rhymes,1
The U.S. founding father famous for his experiments with electricity was born in what city?,1) London,"2) Boston ",3) Philadelphia,2
Which of these people is NOT an inductee into the Internet Hall of Fame?,1) Tim Berners-Lee,2) Al Gore,"3) Steve Jobs ",3
The director of “Mad Max: Fury Road” also directed which of these movies?,1) Borat,2) Live Free or Die Hard,"3) Babe: Pig in the City ",3
Who made the gaming console that indicated a breakdown with the “red ring of death?”`,1) Sony,2) Nintendo,"3) Microsoft ",3
Which of these cat breeds gets its name from an island in Asia?,"1) Balinese ",2) Persian,3) Siamese,1
"In professional wrestling, bad guys are called “heels” and good guys are known as what?",1) Hands,"2) Faces ",3) Torsos,2
Which of these animals provides a key ingredient in traditional mayonnaise?,1) Sheep,"2) Chicken ",3) Cow,2
Which of these music genres peaked in popularity during the 1970s?,1) Doo-wop,"2) Disco ",3) Rap,2
"By definition, a person who cuts hair is often referred to as what?",1) Birder,2) Bugbear,"3) Barber ",3
"According to the old song “Row, Row, Row Your Boat,” life is but a what?","1) Dream ",2) Massive phoenix tattoo,3) Bitcoin scam,1
Which of these is NOT a kind of apple?,1) Dog’s Snout,2) Bloody Ploughman,"3) Everett's Knave ",3
What African nation gets its name from the Arabic for “The Islands”?,1) Madagascar,"2) Algeria ",3) Comoros,2
"In the heyday of the Mutoscope, where would you have been most likely to find one?",1) Horse racetrack,"2) Amusement arcade ",3) Doctor’s office,2
What type of medical treatment gets its name from the Latin for “I shall please”?,1) Analgesic,2) Narcotic,"3) Placebo ",3
Who directed the motion picture credited as the first to show a flushing toilet?,"1) Alfred Hitchcock ",2) Frank Capra,3) John Waters,1
“Betteridge’s Law” is a famous observation about what?,"1) Headlines ",2) Smartphone size,3) Cable news ratings,1
What was “Weird Al” Yankovic’s birth name?,1) Albert Yarborough,"2) Alfred Yankovic ",3) Adam Iacopino,2
Which famous character does NOT grow larger by interacting with a mushroom?,1) Alice in Wonderland,2) Nintendo’s Mario,"3) Thumbelina ",3
What pedal is usually missing from a car with automatic transmission?,1) Brake,2) Gas,"3) Clutch ",3
"In the NCAA Basketball Tournament, the last four teams alive are known as the what?",1) Lone Survivors,2) Grand Slams,"3) Final Four ",3
Militia soldiers in the American Revolutionary War were commonly called what?,"1) Minutemen ",2) Millenniummen,3) Monthmen,1
What kind of salad normally contains the most lettuce?,1) Potato salad,2) Fruit salad,"3) Caesar salad ",3
"In “Dirty Dancing,” what does Patrick Swayze say right after declaring, “Nobody puts baby in a corner”?",1) Nobody,2) Ready?,"3) Come on ",3
The creator of the first video game Easter egg shares his name with a lead actor in which film?,1) Stand by Me,2) Pee-wee's Big Adventure,"3) Ishtar ",3
Which of these nations shares its border with the most countries?,"1) Austria ",2) Bolivia,3) Mali,1
A crystal egg plays a key role in an ’80s film that had what working title?,"1) White Boys Off the Lake ",2) A Boy's Life,3) Spaceman From Pluto,1
The founder of which of these startups has more Twitter followers than Mark Zuckerberg?,1) Dropbox,2) WhatsApp,"3) Box ",3
"In an early scene in “WarGames,” Matthew Broderick grabs a textbook off of what arcade game?","1) Dig Dug ",2) Galaga,3) Zaxxon,1
Which of these songs does NOT feature an elaborate synthesizer solo?,1) “Jump” by Van Halen,2) “Subdivisions” by Rush,"3) “Atomic” by Blondie ",3
"Closely tied to “perestroika,” what does the Russian word “glasnost” mean?",1) Economics,2) Restructuring,"3) Openness ",3
"In the book “Ready Player One,” the hero's spacecraft is named after the author of what novel?",1) The Shining,2) A Scanner Darkly,"3) Breakfast of Champions ",3
"In the Eurythmics’ debut hit video, what color was the lead singer’s hair?","1) Orange ",2) Blonde,3) Pink,1
Which of these stars famously performed at the Berlin Wall before it began to fall?,"1) Bruce Springsteen ",2) David Hasselhoff,3) Roger Waters,1
Which of these is NOT an example of a redundant acronym?,1) PIN number,2) ATM machine,"3) PEZ dispenser ",3
What classic ’80s TV character was an alien from the planet Melmac?,"1) ALF ",2) Alex P. Keaton,3) MacGyver,1
"In the Spielberg film “E.T.”, what does E.T. stand for?","1) Extra Terrestrial ",2) Enchilada Thief,3) Earl Torgeson,1
What festive term also describes a hidden feature in a video game?,"1) Easter egg ",2) Halloween candy bucket,3) Christmas sweater vest,1
"When the U.N. declared 2016 “The International Year of Pulses,” it was to promote awareness of what?","1) Legumes ",2) Clean water,3) Heart health,1
The SNL cast member with the autobiography called “It’s Always Something” played what character?,"1) Emily Litella ",2) Church Lady,3) Unfrozen Caveman Lawyer,1
In which of these places does the capital city NOT contain the name of the country?,1) Kuwait,"2) Barbados ",3) Guatemala,2
Which is the title of an actual video game in the Grand Theft Auto series?,1) Beggar’s Bargain,"2) Chinatown Wars ",3) Desperation Row,2
Who was the first woman to serve as a Supreme Court justice?,"1) Sandra Day O’Connor ",2) Madeleine Albright,3) Ruth Bader Ginsburg,1
"On AFI’s list of greatest film heroes and villains, who played a character listed as both?",1) Anthony Hopkins,"2) Arnold Schwarzenegger ",3) Gary Cooper,2
Which of these is NOT one of the two measurements in a blood pressure reading?,1) Diastolic,"2) Hemostatic ",3) Systolic,2
"Which of these is the correct spelling of 1,000 years?",1) Millenium,"2) Millennium ",3) Milennium,2
Which of these is the name of a piece of furniture AND a vast historical empire?,"1) Ottoman ",2) Credenza,3) Macedonian,1
"By definition, a myopic person is considered what?",1) Mopey,"2) Nearsighted ",3) Photographer,2
"In an old expression, “what’s good for the goose” is also good for the what?","1) Gander ",2) People of Wakanda,3) Goose's social media,1
What is the main ingredient in ketchup?,1) Atlantic cod,2) Melted copper,"3) Tomatoes ",3
Which of these celebrities owns an island near the location of the doomed Fyre Festival?,1) Ja Rule,2) Steve Martin,"3) Tyler Perry ",3
"According to ancient lore, what, if obtained, would bring good luck to wedding guests?",1) Something blue,"2) Pieces of wedding gown ",3) First slice of cake,2
A famous 1945 short story is written from the point of view of which novel’s protagonist?,1) The Grapes of Wrath,2) Catch-22,"3) The Catcher in the Rye ",3
"In cooking, what do chefs set up before they make a meal?",1) Mise-en-chine,2) Mise-en-scène,"3) Mise-en-place ",3
Which of these Broadway productions ran for the most shows?,1) Cats,2) Les Misérables,"3) Chicago ",3
"In AOL Instant Messenger, what default sound played when friends appeared online?","1) Door opening ",2) Car horn,3) Bicycle bell,1
The wigs worn by barristers in English courts are usually made with which kind of hair?,"1) Equine ",2) Synthetic,3) Hominine,1
Which of these U.S. national parks is home to a supervolcano?,1) Yosemite,2) Zion,"3) Yellowstone ",3
The flight recorder known as the airplane “black box” is typically what color?,1) Green,2) Black,"3) Orange ",3
"In arithmetic, how is a number squared?",1) Added to its reciprocal,"2) Multiplied by itself ",3) Divided by antecedent,2
"In book publishing, a novel with a soft cover is typically called what?","1) Paperback ",2) Pillow,3) Wimpy,1
Street art that involves spraying paint on walls is known as what?,1) Peter Griffin,2) Giraffe,"3) Graffiti ",3
Which of these hit rock songs did NOT appear on a debut album?,1) Last Nite,2) Buddy Holly,"3) Wonderwall ",3
Which of these Canadian territories stretches farthest north?,"1) Nunavut ",2) Northwest Territories,3) Yukon,1
Which of these men has been knighted by the Queen of England?,1) Keith Richards,2) Hugh Grant,"3) Rudy Giuliani ",3
What is the last spoken line in Samuel Beckett’s “Waiting for Godot”?,"1) Yes, let’s go. ",2) Let's wait some more.,3) Is he coming?,1
"In the Catholic Church, which of these is considered the most powerful?",1) Vicar general,"2) Archbishop ",3) Archdeacon,2
“Tales from the Crypt” was originally on the same U.S. network as which show?,1) Full House,"2) Fraggle Rock ",3) Animaniacs,2
What did now-defunct teen magazine YM stand for?,1) Your Magazine,"2) Young Miss ",3) Yes Mademoiselle,2
What is the main symptom of the genetic condition known as heterochromia?,1) Ambidextrousness,2) Really long toes,"3) Differently colored eyes ",3
Legal work done without charging a fee is known as what?,1) Habeas corpus,2) Affidavit,"3) Pro bono ",3
In which country do people typically answer the phone by saying “Pronto”?,1) China,2) Canada,"3) Italy ",3
The letters in the federal agency IRS stand for what?,1) Infinitely Rude Staff,"2) Internal Revenue Service ",3) Incredibly Rare Sneakers,2
Firefighters often have which of these things attached to their trucks?,1) LinkedIn profile,2) PDFs,"3) Hose ",3
Which of these nations’ capital cities is located at the highest altitude?,"1) Ethiopia ",2) Kenya,3) Chile,1
Which of these duos consists of two people NOT born in the same year?,1) Simon &amp; Garfunkel,2) OutKast,"3) The White Stripes ",3
"Though their designs are similar, which of these countries’ flags has the most colors?","1) Laos ",2) Palau,3) Bangladesh,1
Which athlete deliberately incorporated soccer shoe concepts into their own sneaker design?,"1) Kobe Bryant ",2) Serena Williams,3) Tiger Woods,1
Which of these toys debuted in stores during JFK’s presidency?,1) RC helicopter,2) G.I. Joe,"3) Slip ’N Slide ",3
Which of these actors has NOT played a person forced to live inside a bubble?,1) Jake Gyllenhaal,2) John Travolta,"3) Jason Alexander ",3
The first Bo Jackson Nike TV ad featured the musical act famous for recording what song?,1) Revolution,2) Hustlin’,"3) I’m a Man ",3
Which of these was NOT one of the canonical seven wonders of the ancient world?,1) Lighthouse,2) Mausoleum,"3) Library ",3
"For high-end sneakers, which of these acronyms describes shoes that are usually easiest to get?",1) HTM,"2) GS ",3) PE,2
What day is Mexico's equivalent to July 4th in the U.S.?,1) May 5,2) March 5,"3) September 16 ",3
"Before inventing Nike's air soles, where did the creator work?","1) NASA ",2) Porsche,3) Levi's,1
"By volume, the air we breathe is mostly made up of what element?","1) Nitrogen ",2) Oxygen,3) Carbon dioxide,1
What is the largest animal ever known to have lived?,"1) Blue whale ",2) Woolly mammoth,3) Apatosaurus,1
"In the fashion world, different color combinations for a single design are known as what?","1) Colorways ",2) Flashschemes,3) Gridstuffs,1
"In a famous folktale, what archer stole from the rich and gave to the poor?",1) Jumpman,"2) Robin Hood ",3) Mr. Steal Your Girl,2
Which of these technological breakthroughs was invented by a man?,1) Windshield wipers,2) Kevlar,"3) Aerosol can ",3
Which of these films earned the dreaded “thumbs down” from Roger Ebert?,"1) Full Metal Jacket ",2) Demolition Man,3) Junior,1
Which state is home to what is considered the deepest lake in the U.S.?,1) Minnesota,2) Michigan,"3) Oregon ",3
What Edgar Allan Poe poem allegedly lends its name to a U.S. Air Force facility?,"1) Dream-Land ",2) The Raven,3) The Haunted Palace,1
"In the Austin Powers films, what type of cat was Mr. Bigglesworth before his cryogenic freeze?",1) Siamese,"2) Persian ",3) Sphynx,2
Which of these is NOT a “Little Critter” book title?,1) Just a Mess,"2) My Summer Vacation ",3) I Was So Mad,2
"In English, the Chinese term for paparazzi literally translates to what?",1) Laser focused,"2) Puppy squad ",3) Buzzing insects,2
"In the U.S., a trial without a jury is known as what?",1) Blank trial,"2) Bench trial ",3) Mistrial,2
Which of these is a common type of node in the human body?,1) Nymph,"2) Lymph ",3) Dymph,2
What hairstyle is named for a part of an animal?,1) Horseholder,2) Bowl cut,"3) Ponytail ",3
What type of card is typically used to make purchases at stores?,"1) Credit ",2) Blockbuster,3) Birthday,1
The stage name “Chubby Checker” was selected in homage to the performer of what song?,"1) Blueberry Hill ",2) Roll Over Beethoven,3) Rock Around the Clock,1
The first U.S. hotel to offer room service is now part of what hospitality chain?,"1) Hilton ",2) Four Seasons,3) Starwood,1
Amtrak trains do NOT stop in which of these places?,1) Glacier National Park,"2) Langley, VA ",3) Niagara Falls,2
The payment company Square has a board member who runs what fast food chain?,"1) Shake Shack ",2) Five Guys,3) In-N-Out,1
Which of these countries built a city shaped like a First Lady's facial profile?,"1) Argentina ",2) France,3) North Korea,1
Which of these films would be considered a “Pygmalion” story?,1) Romeo + Juliet,2) She’s the Man,"3) She’s All That ",3
Which of these is an acronym used to remember the mathematical order of operations?,1) EMPADS,2) SADMEP,"3) PEMDAS ",3
In which type of exercise class would you most likely use a reformer?,1) Zumba,"2) Pilates ",3) Spin,2
“Bollywood” is a portmanteau of what city and Hollywood?,"1) Bombay ",2) Boca Raton,3) Boston,1
The word “fortnight” literally means what?,1) Nighttime battle,2) Tomorrow night,"3) Two weeks ",3
A common type of hair tie covered in fabric is known as what?,"1) Scrunchie ",2) Munchie,3) Lunchie,1
Trees often grow from what?,1) AstroTurf,"2) Seeds ",3) Peanut butter,2
Which two U.S. states' capitals are located the farthest apart from each other?,"1) Florida / Maine ",2) New Mexico / Indiana,3) Alaska / Oregon,1
Which of these major Hollywood films was shot in Toronto?,1) L.A. Confidential,2) Gangs of New York,"3) Chicago ",3
"In 2017, what publication revived the first U.S. newspaper written and edited by women?",1) Chicago Tribune,2) New York Times,"3) Washington Post ",3
Facebook's first logo featured the actor who played which of these characters in a film?,1) Tony Stark,2) Cameron Winklevoss,"3) Carlito Brigante ",3
The element lutetium gets its name from an old name for what European city?,1) London,"2) Paris ",3) Helsinki,2
Which university’s marching band has a giant instrument that used to be radioactive?,1) U of Chicago,2) Purdue,"3) U of Texas ",3
Which of these was inducted into the National Toy Hall of Fame first?,1) Wiffle ball,"2) Game Boy ",3) Rubik’s Cube,2
Which of these vice presidents served under a president carved on Mount Rushmore?,1) Henry Wallace,"2) Hannibal Hamlin ",3) Elbridge Gerry,2
Which of these ’80s movies earned an Oscar nomination?,"1) The Karate Kid ",2) Risky Business,3) The Breakfast Club,1
"In his first-ever video game appearance, Mario had what profession?",1) Chef,"2) Carpenter ",3) Plumber,2
Which of these terms is a common bicycle part?,"1) Lawyer lips ",2) Fireman fingers,3) Trainer toes,1
In which of these would you most likely find a wet cell battery?,1) TV remote control,2) Laptop computer,"3) Cellphone tower ",3
The dinosaur genus Zuul gets its name from what film franchise?,1) Jurassic Park,2) The Land Before Time,"3) Ghostbusters ",3
The author of “Chitty Chitty Bang Bang” also created what literary character?,1) Mary Poppins,2) Winnie the Pooh,"3) James Bond ",3
What do camels primarily store in their humps?,"1) Fat ",2) Water,3) Salt,1
"By definition, a skinflint is someone who does NOT like doing what?",1) Wearing clothes,"2) Spending money ",3) Speaking in public,2
What fashion brand's logo depicts a woman famous for her fierce appearance?,"1) Versace ",2) Chanel,3) Gucci,1
Neapolitan ice cream gets its name from a city in what country?,"1) Italy ",2) Germany,3) Canada,1
A popular board game is titled “Chutes and” what?,1) Leopards,"2) Ladders ",3) Lawyers,2
What is the predominant keyboard layout in North America?,"1) QWERTY ",2) FLIRTY,3) THRIVING,1
"In an old legend, what did Arthur pull out of a stone to become king?","1) Sword ",2) Bird's nest,3) Fat stacks,1
Herman Melville dedicated “Moby-Dick” to the author of what other classic work?,"1) Twice-Told Tales ",2) Paul Revere's Ride,3) Leatherstocking Tales,1
Which of these chemical elements gets its name from a mythical creature?,1) Hassium,2) Xenon,"3) Cobalt ",3
The luna moth lives its entire adult life without doing what?,1) Mating,"2) Eating ",3) Flying,2
"Aside from Walt Disney, the most Oscar-nominated person in history is known for what?",1) Visual effects,2) Costume design,"3) Composing ",3
"In the popular Asian sport sepak takraw, players strike the ball with what?","1) Feet ",2) Hands,3) Sticks,1
What flavor of cream filled the first Twinkies?,1) Vanilla,"2) Banana ",3) Peanut butter,2
A 2014 online gag convinced some people to recharge their iPhones by doing what?,"1) Microwaving them ",2) Plugging into potatoes,3) Freezing them,1
The Greek names of the two moons of Mars literally translate to what?,1) Mother and Daughter,2) Destiny and Promise,"3) Fear and Panic ",3
Which of these poker hands typically beats the other two?,1) Straight,2) Flush,"3) Full house ",3
Which of these animals is classified as an arachnid?,"1) Wolf spider ",2) Vampire bat,3) Seahorse,1
Which of these is most often worn between feet and shoes?,1) Paper towels,"2) Socks ",3) More shoes,2
What was Neil Armstrong’s most famous achievement?,1) Learning French,2) Eating 14 cupcakes,"3) Walking on the moon ",3
Which of these events traditionally occurs on the Tuesday after Easter in Tobago?,"1) Goat race ",2) Rabbit jumping contest,3) Parrot talent show,1
A photo of Meryl Streep yelling through her hands was taken at what 2015 awards show?,1) Oscars,2) Golden Globes,"3) SAG Awards ",3
The mockingbird is NOT the state bird of which of these states?,1) Texas,2) Arkansas,"3) Alabama ",3
Which of these courtroom TV shows debuted in the 1950s?,1) America's Court,"2) Divorce Court ",3) The People's Court,2
The capital of which state is also the French form of the name Peter?,1) Wyoming,2) North Dakota,"3) South Dakota ",3
The CEO of what tech company turned heads in 2013 by buying a funeral home?,1) Tesla,2) Airbnb,"3) Yahoo ",3
Which work by Roald Dahl was adapted into a 3-act opera in 1998?,1) Matilda,2) James &amp; the Giant Peach,"3) The Fantastic Mr. Fox ",3
The cooking method “al pastor” came to Mexico from what country?,1) El Salvador,2) Spain,"3) Lebanon ",3
